agent,size,dirt,size_value,time,performance
random,128x128,0.0,7.0,0.0,1.0
random,128x128,0.01,7.0,1000.0,0.006014528193898078
random,128x128,0.02,7.0,1000.0,0.0059354354305811
random,128x128,0.03,7.0,1000.0,0.005748099295949949
random,128x128,0.04,7.0,1000.0,0.0060089713440839
random,128x128,0.05,7.0,1000.0,0.006082589225913665
random,128x128,0.06,7.0,1000.0,0.006120418873005504
random,128x128,0.07,7.0,1000.0,0.005999289362146406
random,128x128,0.08,7.0,1000.0,0.006035022377751298
random,128x128,0.09,7.0,1000.0,0.006010162819960244
random,128x128,0.1,7.0,1000.0,0.006124062533764927
random,128x128,0.11,7.0,1000.0,0.006037126681614454
random,128x128,0.12,7.0,1000.0,0.0060770048569510635
random,128x128,0.13,7.0,1000.0,0.005967855938814658
random,128x128,0.14,7.0,1000.0,0.00602766304341714
random,128x128,0.15,7.0,1000.0,0.005949915488821004
random,128x128,0.16,7.0,1000.0,0.005935190890146498
random,128x128,0.17,7.0,1000.0,0.006040654504275437
random,128x128,0.18,7.0,1000.0,0.006041893622269633
random,128x128,0.19,7.0,1000.0,0.0060226214626021525
random,128x128,0.2,7.0,1000.0,0.005967262458095571
random,128x128,0.21,7.0,1000.0,0.006011974812804975
random,128x128,0.22,7.0,1000.0,0.006033186000452043
random,128x128,0.23,7.0,1000.0,0.006060607364944937
random,128x128,0.24,7.0,1000.0,0.006107429792565013
random,128x128,0.25,7.0,1000.0,0.006053711228354145
random,128x128,0.26,7.0,1000.0,0.005967114494094144
random,128x128,0.27,7.0,1000.0,0.005988755530780359
random,128x128,0.28,7.0,1000.0,0.006035370295434313
random,128x128,0.29,7.0,1000.0,0.005981287228158195
random,128x128,0.3,7.0,1000.0,0.0059925892767326
random,128x128,0.31,7.0,1000.0,0.006051704374875923
random,128x128,0.32,7.0,1000.0,0.006048209120994695
random,128x128,0.33,7.0,1000.0,0.00606040358161047
random,128x128,0.34,7.0,1000.0,0.006040463921001056
random,128x128,0.35000000000000003,7.0,1000.0,0.005997159567688424
random,128x128,0.36,7.0,1000.0,0.005941503749126736
random,128x128,0.37,7.0,1000.0,0.006020957054568267
random,128x128,0.38,7.0,1000.0,0.006091769700143509
random,128x128,0.39,7.0,1000.0,0.00607268388790205
random,128x128,0.4,7.0,1000.0,0.006036485906787283
random,128x128,0.41000000000000003,7.0,1000.0,0.005991747853278779
random,128x128,0.42,7.0,1000.0,0.005988242852513853
random,128x128,0.43,7.0,1000.0,0.005994230378285436
random,128x128,0.44,7.0,1000.0,0.006015514471964176
random,128x128,0.45,7.0,1000.0,0.006055967286181599
random,128x128,0.46,7.0,1000.0,0.0060669843142205394
random,128x128,0.47000000000000003,7.0,1000.0,0.0060100889218193555
random,128x128,0.48,7.0,1000.0,0.005996580784707226
random,128x128,0.49,7.0,1000.0,0.006004701972817095
random,128x128,0.5,7.0,1000.0,0.0060476303411044156
random,128x128,0.51,7.0,1000.0,0.0060253657975777855
random,128x128,0.52,7.0,1000.0,0.006009042811733662
random,128x128,0.53,7.0,1000.0,0.005983164751618276
random,128x128,0.54,7.0,1000.0,0.006014169728848153
random,128x128,0.55,7.0,1000.0,0.006027615546482426
random,128x128,0.56,7.0,1000.0,0.006019387440525146
random,128x128,0.5700000000000001,7.0,1000.0,0.005997411907620982
random,128x128,0.58,7.0,1000.0,0.006022511294726752
random,128x128,0.59,7.0,1000.0,0.006051138753506507
random,128x128,0.6,7.0,1000.0,0.005999540089106486
random,128x128,0.61,7.0,1000.0,0.006016611142970338
random,128x128,0.62,7.0,1000.0,0.006068575076046403
random,128x128,0.63,7.0,1000.0,0.006019742724918309
random,128x128,0.64,7.0,1000.0,0.006068778776770561
random,128x128,0.65,7.0,1000.0,0.006073561180094112
random,128x128,0.66,7.0,1000.0,0.006036901700496076
random,128x128,0.67,7.0,1000.0,0.006013514142904136
random,128x128,0.68,7.0,1000.0,0.006045046845330713
random,128x128,0.6900000000000001,7.0,1000.0,0.006031860791372465
random,128x128,0.7000000000000001,7.0,1000.0,0.006063480330667281
random,128x128,0.71,7.0,1000.0,0.006052513369150859
random,128x128,0.72,7.0,1000.0,0.006006346382089113
random,128x128,0.73,7.0,1000.0,0.0060425825987127325
random,128x128,0.74,7.0,1000.0,0.00601376484657406
random,128x128,0.75,7.0,1000.0,0.005977469452247037
random,128x128,0.76,7.0,1000.0,0.006064893090118049
random,128x128,0.77,7.0,1000.0,0.00601896854842992
random,128x128,0.78,7.0,1000.0,0.005992305766788142
random,128x128,0.79,7.0,1000.0,0.0060160318910028624
random,128x128,0.8,7.0,1000.0,0.006032606939500131
random,128x128,0.81,7.0,1000.0,0.006036241916583828
random,128x128,0.8200000000000001,7.0,1000.0,0.006029917698027849
random,128x128,0.8300000000000001,7.0,1000.0,0.006056796751542843
random,128x128,0.84,7.0,1000.0,0.006011981887382736
random,128x128,0.85,7.0,1000.0,0.0060484607823202904
random,128x128,0.86,7.0,1000.0,0.006019089329626197
random,128x128,0.87,7.0,1000.0,0.006021359473921799
random,128x128,0.88,7.0,1000.0,0.006024664607965124
random,128x128,0.89,7.0,1000.0,0.006054163964684339
random,128x128,0.9,7.0,1000.0,0.0060093410181996775
random,128x128,0.91,7.0,1000.0,0.006023409475258016
random,128x128,0.92,7.0,1000.0,0.0060424426162419284
random,128x128,0.93,7.0,1000.0,0.006022158096262284
random,128x128,0.9400000000000001,7.0,1000.0,0.006007511058601227
random,128x128,0.9500000000000001,7.0,1000.0,0.0060440450155343365
random,128x128,0.96,7.0,1000.0,0.006015408528789306
random,128x128,0.97,7.0,1000.0,0.006050298208638167
random,128x128,0.98,7.0,1000.0,0.006023209487042049
random,128x128,0.99,7.0,1000.0,0.006018021502133287
random,16x16,0.0,4.0,0.0,1.0
random,16x16,0.01,4.0,903.885,0.34580119047619046
random,16x16,0.02,4.0,986.765,0.30762733655233654
random,16x16,0.03,4.0,996.109,0.3217904623154623
random,16x16,0.04,4.0,1000.0,0.322411146056386
random,16x16,0.05,4.0,1000.0,0.31903879901675025
random,16x16,0.06,4.0,1000.0,0.3144318995685197
random,16x16,0.07,4.0,1000.0,0.3238424389117611
random,16x16,0.08,4.0,1000.0,0.3168484588964681
random,16x16,0.09,4.0,1000.0,0.3148743471977098
random,16x16,0.1,4.0,1000.0,0.31412850636447964
random,16x16,0.11,4.0,1000.0,0.3166161236810648
random,16x16,0.12,4.0,1000.0,0.31487662475730416
random,16x16,0.13,4.0,1000.0,0.31835264574025696
random,16x16,0.14,4.0,1000.0,0.31783882808662595
random,16x16,0.15,4.0,1000.0,0.3168959564324937
random,16x16,0.16,4.0,1000.0,0.3207970869110759
random,16x16,0.17,4.0,1000.0,0.3201737244027711
random,16x16,0.18,4.0,1000.0,0.3190005505176769
random,16x16,0.19,4.0,1000.0,0.31470924214469514
random,16x16,0.2,4.0,1000.0,0.31998890966206933
random,16x16,0.21,4.0,1000.0,0.32071940063048493
random,16x16,0.22,4.0,1000.0,0.31688291378580724
random,16x16,0.23,4.0,1000.0,0.31492882744252715
random,16x16,0.24,4.0,1000.0,0.3161415282869751
random,16x16,0.25,4.0,1000.0,0.3175406235478138
random,16x16,0.26,4.0,1000.0,0.31844671088146914
random,16x16,0.27,4.0,1000.0,0.3177401046618761
random,16x16,0.28,4.0,1000.0,0.31575574897414466
random,16x16,0.29,4.0,1000.0,0.31382979584482096
random,16x16,0.3,4.0,1000.0,0.3134951634804453
random,16x16,0.31,4.0,1000.0,0.3192048354196935
random,16x16,0.32,4.0,1000.0,0.31738508108325314
random,16x16,0.33,4.0,1000.0,0.31612165382779933
random,16x16,0.34,4.0,1000.0,0.3180736989271572
random,16x16,0.35000000000000003,4.0,1000.0,0.3159878355038813
random,16x16,0.36,4.0,1000.0,0.31622764094311234
random,16x16,0.37,4.0,1000.0,0.31469159723358797
random,16x16,0.38,4.0,1000.0,0.31600832197807005
random,16x16,0.39,4.0,1000.0,0.31710605265537506
random,16x16,0.4,4.0,1000.0,0.31784296677008256
random,16x16,0.41000000000000003,4.0,1000.0,0.3155937990151582
random,16x16,0.42,4.0,1000.0,0.3156965213399698
random,16x16,0.43,4.0,1000.0,0.3153900016124012
random,16x16,0.44,4.0,1000.0,0.31570967059953203
random,16x16,0.45,4.0,1000.0,0.3163092294905679
random,16x16,0.46,4.0,1000.0,0.31579096180245697
random,16x16,0.47000000000000003,4.0,1000.0,0.3170429846031658
random,16x16,0.48,4.0,1000.0,0.3181401190308214
random,16x16,0.49,4.0,1000.0,0.3153468689660642
random,16x16,0.5,4.0,1000.0,0.31565154389843364
random,16x16,0.51,4.0,1000.0,0.3171090694460563
random,16x16,0.52,4.0,1000.0,0.31539575873842896
random,16x16,0.53,4.0,1000.0,0.3168029439139388
random,16x16,0.54,4.0,1000.0,0.31786337005681603
random,16x16,0.55,4.0,1000.0,0.31873748286373027
random,16x16,0.56,4.0,1000.0,0.31522608579404476
random,16x16,0.5700000000000001,4.0,1000.0,0.31811439551771775
random,16x16,0.58,4.0,1000.0,0.3167633994624985
random,16x16,0.59,4.0,1000.0,0.3171235386122326
random,16x16,0.6,4.0,1000.0,0.31593589633365565
random,16x16,0.61,4.0,1000.0,0.31587059964583186
random,16x16,0.62,4.0,1000.0,0.3176208162413134
random,16x16,0.63,4.0,1000.0,0.31580291546563805
random,16x16,0.64,4.0,1000.0,0.3188489372080682
random,16x16,0.65,4.0,1000.0,0.3165227341513671
random,16x16,0.66,4.0,1000.0,0.3171685573658485
random,16x16,0.67,4.0,1000.0,0.3159484507351356
random,16x16,0.68,4.0,1000.0,0.3166925817379141
random,16x16,0.6900000000000001,4.0,1000.0,0.3146481700728856
random,16x16,0.7000000000000001,4.0,1000.0,0.31630402729187723
random,16x16,0.71,4.0,1000.0,0.31940021312598477
random,16x16,0.72,4.0,1000.0,0.31717320511595554
random,16x16,0.73,4.0,1000.0,0.317768856466233
random,16x16,0.74,4.0,1000.0,0.31735226087445434
random,16x16,0.75,4.0,1000.0,0.31759380829827694
random,16x16,0.76,4.0,1000.0,0.31665467295287497
random,16x16,0.77,4.0,1000.0,0.3165559833162632
random,16x16,0.78,4.0,1000.0,0.3161564875693656
random,16x16,0.79,4.0,1000.0,0.31558641255862613
random,16x16,0.8,4.0,1000.0,0.318301909874109
random,16x16,0.81,4.0,1000.0,0.3163980756843375
random,16x16,0.8200000000000001,4.0,1000.0,0.3166155127174351
random,16x16,0.8300000000000001,4.0,1000.0,0.3155659997804102
random,16x16,0.84,4.0,1000.0,0.3173418207976493
random,16x16,0.85,4.0,1000.0,0.31983263257287403
random,16x16,0.86,4.0,1000.0,0.31825681566732744
random,16x16,0.87,4.0,1000.0,0.3155747587183324
random,16x16,0.88,4.0,1000.0,0.3167957955890113
random,16x16,0.89,4.0,1000.0,0.31351865685252195
random,16x16,0.9,4.0,1000.0,0.3199839994784032
random,16x16,0.91,4.0,1000.0,0.3176760509665977
random,16x16,0.92,4.0,1000.0,0.3142743689264164
random,16x16,0.93,4.0,1000.0,0.3159681625535477
random,16x16,0.9400000000000001,4.0,1000.0,0.31907989684144267
random,16x16,0.9500000000000001,4.0,1000.0,0.3163809418605632
random,16x16,0.96,4.0,1000.0,0.3165949705939618
