,algorithm_name,env_n,estates_n,solution_found
0,bfs,0,9063,True
1,bfs,1,4503,True
2,bfs,2,13413,True
3,bfs,3,4505,True
4,bfs,4,7100,True
5,bfs,5,14014,True
6,bfs,6,16851,False
7,bfs,7,14845,True
8,bfs,8,1347,True
9,bfs,9,2049,True
10,bfs,10,2097,True
11,bfs,11,9674,True
12,bfs,12,6388,True
13,bfs,13,12152,True
14,bfs,14,4384,True
15,bfs,15,11721,True
16,bfs,16,13161,True
17,bfs,17,14153,True
18,bfs,18,8675,True
19,bfs,19,2787,True
20,bfs,20,5347,True
21,bfs,21,16440,True
22,bfs,22,3826,True
23,bfs,23,6925,True
24,bfs,24,4044,True
25,bfs,25,5943,True
26,bfs,26,1609,True
27,bfs,27,483,True
28,bfs,28,13250,True
29,bfs,29,12985,True
30,dfs,0,1881,True
31,dfs,1,4166,True
32,dfs,2,4158,True
33,dfs,3,2653,True
34,dfs,4,7180,True
35,dfs,5,3207,True
36,dfs,6,16851,False
37,dfs,7,4437,True
38,dfs,8,6996,True
39,dfs,9,6656,True
40,dfs,10,4122,True
41,dfs,11,7262,True
42,dfs,12,948,True
43,dfs,13,4099,True
44,dfs,14,3274,True
45,dfs,15,4898,True
46,dfs,16,7438,True
47,dfs,17,5252,True
48,dfs,18,4851,True
49,dfs,19,6703,True
50,dfs,20,3818,True
51,dfs,21,8536,True
52,dfs,22,1317,True
53,dfs,23,2457,True
54,dfs,24,6115,True
55,dfs,25,8631,True
56,dfs,26,736,True
57,dfs,27,1440,True
58,dfs,28,6944,True
59,dfs,29,14486,True
60,dijkstra,0,5026,True
61,dijkstra,1,2502,True
62,dijkstra,2,7332,True
63,dijkstra,3,2520,True
64,dijkstra,4,3941,True
65,dijkstra,5,7684,True
66,dijkstra,6,9221,False
67,dijkstra,7,8168,True
68,dijkstra,8,750,True
69,dijkstra,9,1172,True
70,dijkstra,10,1174,True
71,dijkstra,11,5371,True
72,dijkstra,12,3535,True
73,dijkstra,13,6690,True
74,dijkstra,14,2454,True
75,dijkstra,15,6459,True
76,dijkstra,16,7206,True
77,dijkstra,17,7771,True
78,dijkstra,18,4787,True
79,dijkstra,19,1591,True
80,dijkstra,20,2986,True
81,dijkstra,21,9012,True
82,dijkstra,22,2154,True
83,dijkstra,23,3854,True
84,dijkstra,24,2257,True
85,dijkstra,25,3313,True
86,dijkstra,26,915,True
87,dijkstra,27,285,True
88,dijkstra,28,7309,True
89,dijkstra,29,7160,True
90,ldfs-00.5,0,7141,False
91,ldfs-00.5,1,3752,False
92,ldfs-00.5,2,5724,False
93,ldfs-00.5,3,2250,True
94,ldfs-00.5,4,4089,False
95,ldfs-00.5,5,3648,False
96,ldfs-00.5,6,3923,False
97,ldfs-00.5,7,4527,False
98,ldfs-00.5,8,8036,True
99,ldfs-00.5,9,4127,False
100,ldfs-00.5,10,4005,False
101,ldfs-00.5,11,382,False
102,ldfs-00.5,12,481,False
103,ldfs-00.5,13,1600,False
104,ldfs-00.5,14,4572,True
105,ldfs-00.5,15,1146,False
106,ldfs-00.5,16,3365,False
107,ldfs-00.5,17,3333,False
108,ldfs-00.5,18,2102,False
109,ldfs-00.5,19,3737,False
110,ldfs-00.5,20,2812,True
111,ldfs-00.5,21,2758,False
112,ldfs-00.5,22,972,False
113,ldfs-00.5,23,1961,False
114,ldfs-00.5,24,4658,False
115,ldfs-00.5,25,8572,False
116,ldfs-00.5,26,241,False
117,ldfs-00.5,27,4022,True
118,ldfs-00.5,28,2645,False
119,ldfs-00.5,29,5997,False
120,ldfs-01.0,0,6467,True
121,ldfs-01.0,1,5836,True
122,ldfs-01.0,2,3048,True
123,ldfs-01.0,3,2063,True
124,ldfs-01.0,4,7611,False
125,ldfs-01.0,5,5643,False
126,ldfs-01.0,6,10588,False
127,ldfs-01.0,7,6414,False
128,ldfs-01.0,8,10446,True
129,ldfs-01.0,9,6139,False
130,ldfs-01.0,10,5940,False
131,ldfs-01.0,11,1187,False
132,ldfs-01.0,12,1011,False
133,ldfs-01.0,13,2739,False
134,ldfs-01.0,14,5478,True
135,ldfs-01.0,15,1239,False
136,ldfs-01.0,16,5753,False
137,ldfs-01.0,17,3780,False
138,ldfs-01.0,18,2466,False
139,ldfs-01.0,19,5008,False
140,ldfs-01.0,20,5862,True
141,ldfs-01.0,21,3936,False
142,ldfs-01.0,22,1774,True
143,ldfs-01.0,23,2531,True
