,algorithm_name,env_n,estates_n,solution_found
0,a*,0,78,True
1,a*,1,51,True
2,a*,2,27,True
3,a*,3,56,True
4,a*,4,70,True
5,a*,5,90,True
6,a*,6,74,True
7,a*,7,64,True
8,a*,8,147,True
9,a*,9,51,True
10,a*,10,105,True
11,a*,11,52,True
12,a*,12,16796,False
13,a*,13,16767,False
14,a*,14,76,True
15,a*,15,46,True
16,a*,16,67,True
17,a*,17,82,True
18,a*,18,58,True
19,a*,19,122,True
20,a*,20,45,True
21,a*,21,130,True
22,a*,22,35,True
23,a*,23,64,True
24,a*,24,102,True
25,a*,25,41,True
26,a*,26,150,True
27,a*,27,26,True
28,a*,28,90,True
29,a*,29,78,True
30,bfs,0,10658,True
31,bfs,1,6098,True
32,bfs,2,1576,True
33,bfs,3,9487,True
34,bfs,4,10533,True
35,bfs,5,10410,True
36,bfs,6,8899,True
37,bfs,7,9394,True
38,bfs,8,16133,True
39,bfs,9,6734,True
40,bfs,10,12153,True
41,bfs,11,6881,True
42,bfs,12,16796,False
43,bfs,13,16767,False
44,bfs,14,13730,True
45,bfs,15,2907,True
46,bfs,16,7029,True
47,bfs,17,7925,True
48,bfs,18,6034,True
49,bfs,19,14814,True
50,bfs,20,6453,True
51,bfs,21,15167,True
52,bfs,22,3711,True
53,bfs,23,9999,True
54,bfs,24,13428,True
55,bfs,25,5291,True
56,bfs,26,16385,True
57,bfs,27,1842,True
58,bfs,28,9299,True
59,bfs,29,10473,True
60,dfs,0,4469,True
61,dfs,1,4135,True
62,dfs,2,6410,True
63,dfs,3,5748,True
64,dfs,4,793,True
65,dfs,5,452,True
66,dfs,6,2839,True
67,dfs,7,693,True
68,dfs,8,1312,True
69,dfs,9,583,True
70,dfs,10,1711,True
71,dfs,11,2749,True
72,dfs,12,16796,False
73,dfs,13,16767,False
74,dfs,14,7824,True
75,dfs,15,2102,True
76,dfs,16,5607,True
77,dfs,17,1408,True
78,dfs,18,1591,True
79,dfs,19,3942,True
80,dfs,20,1346,True
81,dfs,21,3624,True
82,dfs,22,5890,True
83,dfs,23,7918,True
84,dfs,24,8069,True
85,dfs,25,3772,True
86,dfs,26,7919,True
87,dfs,27,1934,True
88,dfs,28,5352,True
89,dfs,29,13124,True
90,dijkstra,0,5909,True
91,dijkstra,1,3382,True
92,dijkstra,2,887,True
93,dijkstra,3,5240,True
94,dijkstra,4,5787,True
95,dijkstra,5,5699,True
96,dijkstra,6,4922,True
97,dijkstra,7,5150,True
98,dijkstra,8,8880,True
99,dijkstra,9,3730,True
100,dijkstra,10,6726,True
101,dijkstra,11,3816,True
102,dijkstra,12,9211,False
103,dijkstra,13,9206,False
104,dijkstra,14,7528,True
105,dijkstra,15,1632,True
106,dijkstra,16,3884,True
107,dijkstra,17,4425,True
108,dijkstra,18,3354,True
109,dijkstra,19,8139,True
110,dijkstra,20,3576,True
111,dijkstra,21,8343,True
112,dijkstra,22,2055,True
113,dijkstra,23,5515,True
114,dijkstra,24,7341,True
115,dijkstra,25,2934,True
116,dijkstra,26,8971,True
117,dijkstra,27,1039,True
118,dijkstra,28,5134,True
119,dijkstra,29,5831,True
120,ldfs-00.5,0,2247,False
121,ldfs-00.5,1,3416,True
122,ldfs-00.5,2,5317,True
123,ldfs-00.5,3,4421,False
124,ldfs-00.5,4,2539,False
125,ldfs-00.5,5,3528,False
126,ldfs-00.5,6,1432,False
127,ldfs-00.5,7,1756,False
128,ldfs-00.5,8,5553,False
129,ldfs-00.5,9,1371,True
130,ldfs-00.5,10,1944,False
131,ldfs-00.5,11,2516,False
132,ldfs-00.5,12,3091,False
133,ldfs-00.5,13,2872,False
134,ldfs-00.5,14,5634,False
135,ldfs-00.5,15,1519,True
136,ldfs-00.5,16,5411,False
137,ldfs-00.5,17,1372,False
138,ldfs-00.5,18,1530,False
139,ldfs-00.5,19,1172,False
140,ldfs-00.5,20,2514,True
141,ldfs-00.5,21,3724,False
142,ldfs-00.5,22,907,False
143,ldfs-00.5,23,6424,False
144,ldfs-00.5,24,4970,False
145,ldfs-00.5,25,2058,True
146,ldfs-00.5,26,1597,False
147,ldfs-00.5,27,811,False
148,ldfs-00.5,28,888,True
149,ldfs-00.5,29,2838,False
150,ldfs-01.0,0,4058,True
151,ldfs-01.0,1,5965,True
152,ldfs-01.0,2,7590,False
153,ldfs-01.0,3,5312,False
154,ldfs-01.0,4,710,True
155,ldfs-01.0,5,1340,True
156,ldfs-01.0,6,4812,False
157,ldfs-01.0,7,1443,True
158,ldfs-01.0,8,507,True
159,ldfs-01.0,9,2251,True
160,ldfs-01.0,10,3920,False
161,ldfs-01.0,11,3522,True
162,ldfs-01.0,12,4944,False
163,ldfs-01.0,13,6080,False
164,ldfs-01.0,14,6991,False
