agent,result
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
